description,quote_date,p_mean,p75,p_median,p25,iqr,ratio,index
TV,2018-02-01,472.6917,549,419,329,220,1.668693009,100
TV,2018-03-01,473.7825,524.375,399.495,329,195.375,1.593844985,95.51457197
TV,2018-04-01,460.1573,499,399,309,190,1.614886731,96.77554363
TV,2018-05-01,455.9237,479,379,329,150,1.455927052,87.24954465
TV,2018-06-01,449.8288,449.89,389,299,150.89,1.504648829,90.16930142
TV,2018-07-01,463.8424,479,350,279,200,1.716845878,102.8856637
TV,2018-08-01,508.2021,570,399,299,271,1.906354515,114.2423744
TV,2018-09-01,463.0503,469,399,329.99,139.01,1.42125519,85.17175912
TV,2018-10-01,467.614,489,399,309.42,179.58,1.580376188,94.70742548
TV,2018-11-01,439.9684,510.25,369,279.99,230.26,1.822386514,109.2104122
TV,2018-12-01,453.3035,523.75,369,299.99,223.76,1.74589153,104.6262866
TV,2019-01-01,432.3242,499,349,279.99,219.01,1.782206507,106.8025393
TV,2019-02-01,445.6352,499,349,319,180,1.564263323,93.74182756
TV,2019-03-01,428.3426,469.99,349,279,190.99,1.684551971,100.9503822
TV,2019-04-01,411.7588,464,328,269,195,1.724907063,103.3687475
TV,2019-05-01,404.2637,429,299,274.495,154.505,1.562869998,93.65832958
TV,2019-06-01,482.1514,523.775,319,269,254.775,1.947118959,116.685271
TV,2019-07-01,471.4777,523.8,309,269,254.8,1.947211896,116.6908404
TV,2019-08-01,519.5977,679,359,289.93,389.07,2.341944607,140.3460429
TV,2019-09-01,508.2953,669,399,299,370,2.237458194,134.084471
TV,2019-10-01,517.2158,599,399,299.99,299.01,1.996733224,119.658512
TV,2019-11-01,517.2848,599,399.99,299,300,2.003344482,120.0547058
TV,2019-12-01,539.3381,599,408.99,319,280,1.877742947,112.527765
TV,2020-01-01,482.3172,548,379,299,249,1.83277592,109.8330196
TV,2020-02-01,505.043,548.42,399,294.5,253.92,1.862207131,111.5967479
TV,2020-03-01,497.76,529.99,379,299.99,230,1.766692223,105.8728126
TV,2020-04-01,499.1208,549,399,295.5,253.5,1.85786802,111.3367174
TV,2020-05-01,497.5198,549.99,379.99,299,250.99,1.839431438,110.2318658
TV,2020-06-01,500.1238,574,349,290,284,1.979310345,118.6144087
TV,2020-07-01,585.1086,599,379,349.99,249.01,1.711477471,102.5639505
TV,2020-08-01,524.5715,599,379,299,300,2.003344482,120.0547058
TV,2020-09-01,479.3354,599,379,319,280,1.877742947,112.527765
TV,2020-10-01,495.1462,599,436,349,250,1.716332378,102.8548911
TV,2020-11-01,488.3965,599,424.57,349,250,1.716332378,102.8548911
TV,2020-12-01,497.2776,549,429.99,329.99,219.01,1.663686778,99.69999089
TV,2021-01-01,489.54,549,399,319,230,1.721003135,103.1347963
TV,2021-02-01,524.2814,562,449.945,379,183,1.482849604,88.8629362
TV,2021-03-01,506.1154,599,449,379,220,1.580474934,94.71334305
TV,2021-04-01,486.117,499,449,378,121,1.32010582,79.11016663
TV,2021-05-01,499.7744,499,469,379,120,1.316622691,78.90143267
TV,2021-06-01,457.4079,499.495,399,359.495,140,1.38943518,83.26487691
TV,2021-07-01,488.7067,549.995,429,379,170.995,1.451174142,86.96471635
TV,2021-08-01,521.4193,579,449,379,200,1.527704485,91.55096095
TV,2021-09-01,526.2059,629,449,379,250,1.659630607,99.45691616
TV,2021-10-01,538.1365,599,429,399,200,1.501253133,89.96580707
TV,2021-11-01,498.0013,599,399.99,379,220,1.580474934,94.71334305
TV,2021-12-01,499.4114,549,399,329,220,1.668693009,100
TV,2022-01-01,485.3,529,379,329,200,1.607902736,96.35701278
TV,2022-02-01,472.5793,519.99,399,299,220.99,1.73909699,104.2191092
TV,2022-03-01,471.8141,460,399,319,141,1.44200627,86.415312
TV,2022-04-01,441.814,460,349,299,161,1.538461538,92.19560037
TV,2022-05-01,445.4073,469,329,279,190,1.681003584,100.7377376
TV,2022-06-01,435.9063,539,339.495,269,270,2.003717472,120.077058
TV,2022-07-01,446.738,579,399,289,290,2.003460208,120.0616409
TV,2022-08-01,454.4958,489,379,289,200,1.692041522,101.3992096
TV,2022-09-01,496.8242,529,379,279,250,1.896057348,113.6252946
TV,2022-10-01,493.4539,529,349.485,299,230,1.769230769,106.0249404
