Date,GRA Purchases,PRGT 1/2/,Total,Year,Month,,Day,Date Final,Totals,GDP $Usbn,Credit as a % of Global GDP
08/31/2022,93769635059,15254184552,1.09E+11,2022,8,31/2022,31,31/08/2022,109.0238196,96100.091,0.001134482
12/31/2021,89474552025,14554823681,1.04E+11,2021,12,31/2021,31,31/12/2021,104.0293757,84906.81419,0.001225218
12/31/2020,93408630285,12481816684,1.06E+11,2020,12,31/2020,31,31/12/2020,105.890447,87652.86322,0.001208066
12/31/2019,66945509865,6590835450,73536345315,2019,12,31/2019,31,31/12/2019,73.53634532,86413.03278,0.000850987
12/31/2018,55395611392,6426181029,61821792421,2018,12,31/2018,31,31/12/2018,61.82179242,81403.97743,0.000759444
12/31/2017,39585385873,6522280669,46107666542,2017,12,31/2017,31,31/12/2017,46.10766654,76465.59001,0.000602986
12/31/2016,49267630851,6482647937,55750278788,2016,12,31/2016,31,31/12/2016,55.75027879,75179.26627,0.000741565
12/31/2015,50757840741,6575911158,57333751899,2015,12,31/2015,31,31/12/2015,57.3337519,79708.81224,0.00071929
12/31/2014,69041563463,6292755583,75334319046,2014,12,31/2014,31,31/12/2014,75.33431905,77607.19847,0.000970713
12/31/2013,83899249061,6174392682,90073641743,2013,12,31/2013,31,31/12/2013,90.07364174,75488.06418,0.001193217
12/31/2012,90042348252,5766292503,95808640755,2012,12,31/2012,31,31/12/2012,95.80864076,73853.78405,0.001297275
12/31/2011,87276915790,5308609594,92585525384,2011,12,31/2011,31,31/12/2011,92.58552538,66596.05101,0.001390255
12/31/2010,55620104510,4819344134,60439448644,2010,12,31/2010,31,31/12/2010,60.43944864,60809.11183,0.000993921
12/31/2009,37221142436,5079705286,42300847722,2009,12,31/2009,31,31/12/2009,42.30084772,64123.70427,0.000659676
12/31/2008,17514964723,3972372030,21487336753,2008,12,31/2008,31,31/12/2008,21.48733675,58355.01509,0.000368217
12/31/2007,6036146757,3796945581,9833092338,2007,12,31/2007,31,31/12/2007,9.833092338,51779.84559,0.000189902
12/31/2006,9822640239,3844020520,13666660759,2006,12,31/2006,31,31/12/2006,13.66666076,47779.71479,0.000286035
12/31/2005,28432143237,6282121668,34714264905,2005,12,31/2005,31,31/12/2005,34.71426491,44117.60113,0.000786857
12/31/2004,55373766674,6766029353,62139796027,2004,12,31/2004,31,31/12/2004,62.13979603,39146.98839,0.001587346
12/31/2003,65032062712,6880893268,71912955980,2003,12,31/2003,31,31/12/2003,71.91295598,34911.42705,0.002059869
12/31/2002,63601058794,6868671012,70469729806,2002,12,31/2002,31,31/12/2002,70.46972981,33615.43597,0.00209635
12/31/2001,53477225409,6424578684,59901804093,2001,12,31/2001,31,31/12/2001,59.90180409,33830.8788,0.001770625
12/31/2000,42990531049,6331595468,49322126517,2000,12,31/2000,31,31/12/2000,49.32212652,32737.37497,0.0015066
12/31/1999,51061861875,6434274362,57496136237,1999,12,31/1999,31,31/12/1999,57.49613624,31539.9579,0.001822962
12/31/1998,60451017051,6288825925,66739842976,1998,12,31/1998,31,31/12/1998,66.73984298,31620.44366,0.002110655
12/31/1997,46559033783,6009867422,52568901205,1997,12,31/1997,31,31/12/1997,52.56890121,31736.66005,0.001656409
12/31/1996,36127472805,5881609752,42009082557,1996,12,31/1996,31,31/12/1996,42.00908256,31043.64788,0.001353226
12/31/1995,35929173412,5657438528,41586611940,1995,12,31/1995,31,31/12/1995,41.58661194,27872.25513,0.001492043
12/31/1994,25611676952,4599768498,30211445450,1994,12,31/1994,31,31/12/1994,30.21144545,25821.97892,0.00116999
12/31/1993,25196745031,3942792899,29139537930,1993,12,31/1993,31,31/12/1993,29.13953793,25406.10611,0.00114695
12/31/1992,23967172718,3804463796,27771636514,1992,12,31/1992,31,31/12/1992,27.77163651,23759.57245,0.001168861
12/31/1991,23378573926,3285717796,26664291722,1991,12,31/1991,31,31/12/1991,26.66429172,22779.97868,0.001170514
12/31/1990,20731851093,2571911617,23303762710,1990,12,31/1990,31,31/12/1990,23.30376271,20194.0038,0.001153994
12/31/1989,22315104224,2334886562,24649990786,1989,12,31/1989,31,31/12/1989,24.64999079,19337.99747,0.001274692
12/31/1988,24750004884,1773964293,26523969177,1988,12,31/1988,31,31/12/1988,26.52396918,17307.238,0.001532536
12/31/1987,28751979125,1866342930,30618322055,1987,12,31/1987,31,31/12/1987,30.61832206,15205.31553,0.002013659
12/31/1986,33334905644,2013169931,35348075575,1986,12,31/1986,31,31/12/1986,35.34807558,12860.09446,0.002748664
12/31/1985,35194787249,2470247948,37665035197,1985,12,31/1985,31,31/12/1985,37.6650352,12269.79237,0.003069737
12/31/1984,34936772393,2769874900,37706647293,1984,12,31/1984,31,31/12/1984,37.70664729,,#DIV/0!
,,,,,,,,,,,
,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,
,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,
