desription,quote_date,p_mean,p75,p_median,p25,iqr,ratio
Home office desk,2018-01-01,345.187,599,249.99,60,539,9.983333333
Home office desk,2018-02-01,345.7176,599,245,94.99,504.01,6.30592694
Home office desk,2018-03-01,366.8772,599,297,94.99,504.01,6.30592694
Home office desk,2018-04-01,355.1999,599,290,94.99,504.01,6.30592694
Home office desk,2018-05-01,350.702,598.47,264,94.99,503.48,6.300347405
Home office desk,2018-06-01,354.6821,549,285,94.99,454.01,5.779555743
Home office desk,2018-07-01,330.7735,499,256.5,94.99,404.01,5.253184546
Home office desk,2018-08-01,346.7438,564.5,295,89.99,474.51,6.272919213
Home office desk,2018-09-01,347.5488,549,285,89.99,459.01,6.100677853
Home office desk,2018-10-01,352.9522,599,274.05,89.995,509.005,6.655925329
Home office desk,2018-11-01,357.6628,599,279.495,89.99,509.01,6.656295144
Home office desk,2018-12-01,362.804,599,299,89.99,509.01,6.656295144
Home office desk,2019-01-01,344.344,549,279.65,90,459,6.1
Home office desk,2019-02-01,364.2266,599,299,99.99,499.01,5.99059906
Home office desk,2019-03-01,374.9019,599,299,110,489,5.445454545
Home office desk,2019-04-01,362.3161,599,299,94.5,504.5,6.338624339
Home office desk,2019-05-01,360.8073,599,299,90,509,6.655555556
Home office desk,2019-06-01,383.0023,599,299,90,509,6.655555556
Home office desk,2019-07-01,348.9489,599,274,90,509,6.655555556
Home office desk,2019-08-01,347.8964,599,279,90,509,6.655555556
Home office desk,2019-09-01,356.1691,599,299,90,509,6.655555556
Home office desk,2019-10-01,351.893,599,299,90,509,6.655555556
Home office desk,2019-11-01,373.1158,599,299,90,509,6.655555556
Home office desk,2019-12-01,385.925,599,299,90,509,6.655555556
Home office desk,2020-01-01,361.8526,599,299,89,510,6.730337079
Home office desk,2020-02-01,390.093,599,299,115,484,5.208695652
Home office desk,2020-03-01,400.3927,599,299,110,489,5.445454545
Home office desk,2020-04-01,289.9325,429.99,250,89,340.99,4.831348315
Home office desk,2020-05-01,304.2172,429.99,250,99.495,330.495,4.32172471
Home office desk,2020-06-01,334.0954,432.49,274.5,80,352.49,5.406125
Home office desk,2020-07-01,361.7678,589.5,299,99.99,489.51,5.895589559
Home office desk,2020-08-01,339.6644,350,199,60,290,5.833333333
Home office desk,2020-09-01,346.2325,399,135,60,339,6.65
Home office desk,2020-10-01,339.3788,399,219,60,339,6.65
Home office desk,2020-11-01,288.8107,350,230,60,290,5.833333333
Home office desk,2020-12-01,324.3104,350,250,69.99,280.01,5.000714388
Home office desk,2021-01-01,298.3505,350,239,60,290,5.833333333
Home office desk,2021-02-01,305.398,350,250,65,285,5.384615385
Home office desk,2021-03-01,319.5892,350,129,65,285,5.384615385
Home office desk,2021-04-01,301.3843,323,194.5,65,258,4.969230769
Home office desk,2021-05-01,335.1395,399,129,65,334,6.138461538
Home office desk,2021-06-01,336.3314,350,199,70,280,5
Home office desk,2021-07-01,335.97,350,199,70,280,5
Home office desk,2021-08-01,345.1433,370,199,79.99,290.01,4.625578197
Home office desk,2021-09-01,366.3425,399,258.5,70,329,5.7
Home office desk,2021-10-01,375.2478,449,268.5,70,379,6.414285714
Home office desk,2021-11-01,358.9134,399,199,70,329,5.7
Home office desk,2021-12-01,348.0795,399,199,70,329,5.7
Home office desk,2022-01-01,335.7483,359,199,85,274,4.223529412
Home office desk,2022-02-01,315.6973,359,199,85,274,4.223529412
Home office desk,2022-03-01,302.2688,390,169,85,305,4.588235294
Home office desk,2022-04-01,326.3563,419,199,85,334,4.929411765
Home office desk,2022-05-01,330.9091,419,189,85,334,4.929411765
Home office desk,2022-06-01,328.485,399,249.99,85,314,4.694117647
Home office desk,2022-07-01,322.6328,399,199,90,309,4.433333333
Home office desk,2022-08-01,310.5748,394,199,87.5,306.5,4.502857143
Home office desk,2022-09-01,311.1158,399,225,80,319,4.9875
Home office desk,2022-10-01,313.6353,399,225,99.99,299.01,3.99039904
